"School Environmental Safety Incidents, Rate Per 1,000 K-12 Students",,,,,,,,,,,,,,,,,,,,
,2023,,2022,,2021,,2020,,2019,,2018,,2017,,2016,,2015,,2014,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Florida,120297,42.9,108579,39.1,50971,18.6,65630,23.5,84795,30.5,71246,25.7,68365,24.8,72024,26.4,72450,26.3,66416,24.4
Alachua,1826,63.8,1700,59.6,679,24.1,900,31.0,1714,59.0,1351,46.7,1515,53.0,1919,67.5,1592,55.5,1771,62.9
Baker,315,65.4,230,48.2,409,85.8,260,53.6,360,73.8,299,61.3,336,69.4,419,87.0,278,56.3,241,48.3
Bay,1131,42.5,878,34.5,665,26.9,432,17.7,521,19.1,406,14.9,378,13.9,280,10.4,346,12.5,382,14.1
Bradford,178,62.7,173,63.6,142,53.1,67,23.1,151,51.0,9,3.0,13,4.2,12,3.9,12,3.8,54,16.7
Brevard,2911,40.3,2665,37.7,1470,21.1,1603,22.3,2274,31.7,1373,19.2,878,12.3,1088,15.4,998,13.8,951,13.4
Broward,8880,35.7,9270,37.0,1022,4.0,5399,20.6,7685,29.1,6122,23.0,6024,22.7,6500,24.7,6039,22.7,5867,22.3
Calhoun,86,41.7,60,29.1,45,22.3,42,20.1,31,14.5,13,6.0,24,11.2,20,9.2,15,6.6,27,11.9
Charlotte,1129,68.7,904,56.6,601,40.4,475,30.6,633,40.9,422,27.4,386,25.1,411,26.4,385,23.9,383,23.6
Citrus,1304,84.1,881,57.8,598,39.9,463,30.6,460,30.7,268,17.8,219,14.6,249,16.7,283,18.7,300,19.9
Clay,1993,51.9,1880,49.6,513,13.6,784,20.7,823,21.9,479,13.0,456,12.5,438,12.2,465,13,442,12.4
Collier,1784,37.8,1550,33.0,786,17.2,744,15.8,1341,28.8,1100,23.8,837,18.3,730,16.1,634,14,686,15.4
Columbia,612,64.3,518,54.2,416,43.8,242,24.7,100,10.2,69,7.0,115,11.7,202,20.4,284,27.9,263,25.9
Miami-Dade,6927,21.2,5300,16.5,1518,4.6,4572,13.5,6208,18.2,3679,10.6,4036,11.6,3344,9.6,8854,24.8,10850,30.5
DeSoto,236,52.1,226,49.9,111,24.4,103,21.5,98,20.6,143,30.1,49,10.2,115,24.2,131,27.6,58,12.3
Dixie,141,72.8,203,100.7,69,34.4,99,47.7,188,90.6,140,68.6,103,51.4,69,34.7,136,64.6,159,76.3
Duval,5975,46.9,6223,49.2,3287,26.4,3506,27.5,5343,42.0,9739,76.8,12014,94.9,12952,102.2,11537,89.7,4608,36.1
Escambia,2488,67.3,2577,69.6,1085,28.7,1059,27.3,1170,30.0,970,24.6,884,22.4,935,23.5,828,20.3,492,12.1
Flagler,518,39.1,555,42.5,305,23.8,200,15.6,302,23.4,170,13.1,175,13.6,176,13.7,150,11.7,123,9.6
Franklin,82,72.3,60,51.4,111,92.9,65,52.4,64,50.9,117,93.7,43,33.6,55,44.4,38,29.6,67,52.1
Gadsden,462,107.9,397,91.2,197,43.3,329,69.8,617,128.9,579,118.2,478,92.0,474,88.1,527,88.7,264,44.0
Gilchrist,67,25.0,58,22.1,30,11.7,32,12.1,120,46.8,54,21.6,39,15.1,44,17.3,44,16.8,36,13.8
Glades,84,48.1,81,48.4,79,45.5,36,20.4,50,28.9,6,3.6,18,10.7,18,11.1,22,13.7,14,9.1
Gulf,57,30.5,39,20.8,46,25.7,17,9.2,34,18.0,31,16.2,27,14.3,37,19.7,26,13.9,9,4.8
Hamilton,134,84.0,202,128.0,112,73.9,76,48.0,124,80.4,105,66.6,80,49.2,87,51.6,92,52.6,87,51.6
Hardee,174,35.7,179,36.6,160,32.7,99,19.7,96,19.1,81,15.7,74,14.2,70,13.5,75,14.4,87,16.9
Hendry,182,13.5,213,15.2,97,7.3,138,16.0,120,17.1,169,23.8,139,19.4,116,16.6,119,16.8,174,25.2
Hernando,1672,70.9,1608,70.0,901,40.5,952,42.2,1197,53.4,947,42.8,795,36.1,911,41.6,1010,45.7,873,39.6
Highlands,818,68.2,630,52.7,458,38.4,416,35.1,600,49.4,578,47.2,328,27.0,401,32.9,372,30.3,323,26.5
Hillsborough,10111,46.0,9531,43.3,5300,24.5,7489,34.2,10149,47.0,8268,38.8,7580,36.0,7349,35.4,4333,20.9,3404,16.7
