"Families Below Poverty Level With Related Children (Aged 0-17 Years) (Census ACS), Percentage of Families with Children (Aged 0-17 Years)",,,,,,,,,,
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
County,Percent (%),Percent (%),Percent (%),Percent (%),Percent (%),Percent (%),Percent (%),Percent (%),Percent (%),Percent (%)
Florida,14.0,14.4,14.8,15.2,16.3,17.3,18.2,19.1,19.82,19.9
Alachua,12.1,12.8,13.9,14.4,15.1,16.2,18.9,18.9,19.38,22.0
Baker,15.7,18.2,13.3,13.6,13.5,17.2,19.5,20.4,19.03,20.5
Bay,13.7,14.0,14.9,14.0,17.4,17.3,17.9,18.9,18.58,18.0
Bradford,18.0,17.2,19.7,25.2,32.1,28.8,24.9,26.9,26.87,27.5
Brevard,11.2,11.1,12.1,13.3,14.1,15.6,16.6,18.1,17.91,18.1
Broward,13.2,13.6,13.1,13.5,14.3,14.9,15.2,15.7,15.95,15.9
Calhoun,26.1,26.9,20.1,16.4,10.6,9.1,9.5,10.2,14.85,20.7
Charlotte,12.5,15.5,17.3,16.5,17.8,16.5,18.4,17.9,17.94,19.5
Citrus,22.3,21.3,22.7,23.3,23.7,24.5,25.5,25.2,25.16,25.4
Clay,10.5,10.6,11.2,11.8,12.0,12.6,12.4,11.3,10.63,10.7
Collier,12.5,12.6,13.2,13.2,15.3,17.7,17.8,17.1,19.32,19.4
Columbia,17.3,15.9,13.4,12.9,17.2,18.6,18.9,23.5,24.28,24.1
Miami-Dade,15.6,16.1,16.9,17.6,19.0,20.3,21.5,22.8,23.53,23.3
DeSoto,25.2,29.2,27.4,33.3,29.7,32.5,34.1,33.2,32.24,33.6
Dixie,26.4,19.6,15.9,19.5,30.9,28.3,27.9,26.9,24.73,14.8
Duval,16.6,16.4,16.7,16.7,17.5,19.1,19.7,20.4,21.64,21.3
Escambia,18.3,19.2,18.7,17.5,17.7,16.9,18.6,18.8,20.24,21.7
Flagler,11.4,12.4,14.7,14.5,17.7,16.0,17.1,16.0,19.04,20.1
Franklin,34.1,40.8,33.8,35.2,31.8,30.3,27.3,27.2,29.24,36.3
Gadsden,33.6,30.2,29.5,26.7,29.0,32.7,32.0,33.1,35.89,35.2
Gilchrist,12.8,15.4,14.9,19.1,24.8,27.4,32.5,34.5,31.08,30.2
Glades,29.3,27.7,19.8,15.6,24.7,18.9,24.3,28.6,29.02,35.8
Gulf,19.1,19.7,13.1,17.2,12.5,15.6,16.1,17.6,15.1,20.5
Hamilton,34.0,30.3,30.0,27.9,33.3,36.4,32.6,35.9,39.57,39.7
Hardee,30.3,33.3,33.1,29.4,28.3,34.1,32.3,33.2,35.35,40.2
Hendry,22.8,25.9,32.2,36.5,28.3,30.5,27.9,32.6,32.05,33.6
Hernando,15.3,15.8,17.1,19.0,17.1,16.9,17.4,20.5,22.2,22.7
Highlands,18.9,19.0,19.4,21.8,26.2,27.5,24.9,25.7,24.28,25.1
Hillsborough,14.0,14.8,15.2,14.9,16.0,16.6,17.1,18.1,18.83,19.1
Holmes,13.2,16.8,16.7,20.5,25.3,31.3,32.1,32.8,36.67,32.2
Indian River,14.0,12.7,12.7,11.8,13.0,14.0,15.8,18.6,20.05,22.0
Jackson,22.7,24.6,23.3,24.0,22.4,23.6,25.3,27.6,28.45,26.5
Jefferson,26.4,22.1,22.0,20.8,24.7,20.0,18.0,20.6,22.94,22.7
Lafayette,19.8,25.9,15.9,25.0,11.5,32.6,26.3,29.1,30.91,31.1
